rep,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
11,-0.027,0.0041,0.087,0.1854,0.1667,0.4336,0.788423,0.97006,0.363273,0.065868,0.095808,0.001996,-0.285,0.0004,0.049,0.0005,0.003,3.09
12,0.6237,0.6698,0.9245,0.7772,0.4757,0.6982,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,6.825,0.0708,0.5278,0.0023,0.0081,4.995
13,-0.3538,-0.3712,-0.4222,-0.2325,0.2078,-0.3742,0.001996,0.001996,0.003992,0.023952,0.037924,0.001996,-3.805,-0.0396,-0.2415,-0.0007,0.0035,-2.775
14,-0.3488,-0.3595,-0.5324,-0.406,-0.1341,-0.4024,0.003992,0.001996,0.001996,0.001996,0.175649,0.001996,-3.68,-0.0376,-0.2851,-0.0012,-0.0025,-2.8
15,0.15,0.1204,-0.223,-0.5577,-0.275,-0.0225,0.149701,0.253493,0.017964,0.001996,0.003992,0.808383,1.58,0.0122,-0.1218,-0.0016,-0.0049,-0.18
16,0.1204,0.1039,-0.006,-0.1557,0.0643,0.0772,0.251497,0.279441,0.944112,0.139721,0.538922,0.443114,1.29,0.0113,-0.0033,-0.0005,0.0012,0.565
17,0.7502,0.7569,0.2809,-0.4285,-0.119,0.2822,0.001996,0.001996,0.005988,0.001996,0.213573,0.007984,7.535,0.0758,0.1506,-0.0014,-0.0022,1.945
18,0.6113,0.5674,0.7643,0.5134,0.3775,0.3373,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,6.2,0.0549,0.4239,0.0015,0.007,2.44
19,-0.2645,-0.2553,-0.2041,0.0203,0.0979,-0.4444,0.011976,0.011976,0.051896,0.854291,0.317365,0.001996,-2.63,-0.0251,-0.1093,0.0001,0.0018,-3.15
20,-0.6487,-0.6436,-0.895,-0.6818,-0.2678,-1.0057,0.001996,0.001996,0.001996,0.001996,0.015968,0.001996,-6.975,-0.0709,-0.5068,-0.0021,-0.0048,-7.32
21,-1.0019,-0.9413,-0.6463,0.2426,0.0676,-1.0393,0.001996,0.001996,0.001996,0.007984,0.487026,0.001996,-10.485,-0.1005,-0.3515,0.0007,0.0012,-7.295
22,-0.3516,-0.2878,-0.3196,-0.0666,-0.1271,-0.1306,0.003992,0.005988,0.003992,0.497006,0.241517,0.157685,-3.75,-0.0305,-0.1758,-0.0002,-0.0021,-0.965
23,0.9543,1.0523,0.6842,-0.0568,-0.0799,0.7952,0.001996,0.001996,0.001996,0.58483,0.46507,0.001996,9.79,0.1005,0.3796,-0.0002,-0.0015,5.875
24,0.2021,0.2576,-0.1012,-0.4176,-0.2766,0.2332,0.047904,0.013972,0.305389,0.001996,0.00998,0.027944,2.065,0.0252,-0.0539,-0.0012,-0.0048,1.77
25,0.0989,0.0885,-0.0848,-0.2844,-0.2713,0.0629,0.323353,0.347305,0.38523,0.00998,0.003992,0.562874,1.125,0.0096,-0.0491,-0.0009,-0.0048,0.47
26,1.2075,1.2633,1.2824,0.5499,0.1918,0.9436,0.001996,0.001996,0.001996,0.001996,0.065868,0.001996,12.395,0.1204,0.7062,0.0016,0.0033,7.265
27,0.301,0.4033,0.2634,0.0687,-0.1209,0.7772,0.005988,0.001996,0.015968,0.49501,0.229541,0.001996,3.305,0.0446,0.1512,0.0002,-0.0022,6.08
28,0.613,0.6293,0.4249,-0.0172,-0.1886,0.3794,0.001996,0.001996,0.001996,0.854291,0.08982,0.001996,5.885,0.0602,0.2223,-0.0001,-0.0033,2.625
29,-0.5696,-0.6821,-0.7221,-0.4422,0.3721,-0.8522,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.775,-0.0673,-0.3774,-0.0013,0.0072,-5.83
30,0.3039,0.2949,-0.0756,-0.513,-0.3191,0.1754,0.003992,0.003992,0.47505,0.001996,0.001996,0.071856,3.2,0.0302,-0.0421,-0.0016,-0.0057,1.265
31,0.9146,0.9776,0.754,0.1563,-0.1899,1.3409,0.001996,0.001996,0.001996,0.129741,0.077844,0.001996,9.87,0.0975,0.4425,0.0005,-0.0031,10.83
32,1.2664,1.2282,1.1935,0.383,0.0819,0.8924,0.001996,0.001996,0.001996,0.001996,0.41517,0.001996,13.675,0.127,0.6894,0.0012,0.0014,7.08
33,0.9559,0.9484,0.4929,-0.3823,-0.3306,0.5932,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,10.2,0.0959,0.2782,-0.0011,-0.0058,4.705
34,0.2427,0.3101,0.0993,-0.1245,-0.2737,0.2357,0.01996,0.001996,0.357285,0.239521,0.00998,0.021956,2.525,0.0302,0.0547,-0.0004,-0.0049,1.685
35,-0.1529,-0.1462,-0.4347,-0.4895,-0.2314,-0.5515,0.121756,0.10978,0.001996,0.001996,0.011976,0.001996,-1.545,-0.0143,-0.2272,-0.0015,-0.0037,-3.875
36,0.3609,0.3823,0.4806,0.3407,0.1328,0.5353,0.003992,0.001996,0.001996,0.001996,0.159681,0.001996,3.54,0.0375,0.257,0.0011,0.0025,3.63
37,0.8443,0.8367,0.7415,0.1567,0.3086,0.4052,0.001996,0.001996,0.001996,0.107784,0.005988,0.001996,8.295,0.0788,0.3889,0.0004,0.0057,3.03
38,0.9799,1.0519,0.5855,-0.2498,-0.1825,-0.0442,0.001996,0.001996,0.001996,0.001996,0.07984,0.702595,10.285,0.1009,0.3317,-0.0007,-0.0031,-0.325
39,0.0512,0.1567,0.0079,-0.0273,-0.2827,0.2574,0.626747,0.127745,0.938124,0.808383,0.005988,0.013972,0.52,0.0153,0.0045,-0.0001,-0.0045,1.895
